(DE-588)102132437 Verknüpfter GND-Satz existiert nicht: 1001  L $$aFrank-Fahle, Guenther$$1(DE-588)102132437$$eAutor$$4aut / 000209346 / 1
(DE-588)1021376558 Verknüpfter GND-Satz existiert nicht: 1001  L $$aCochenhausen, Ernst <<von>>$$1(DE-588)1021376558$$eAutor$$4aut / 000279671 / 1
(DE-588)102149801 Verknüpfter GND-Satz existiert nicht: 1001  L $$aHummel, Theodor$$1(DE-588)102149801$$eAktenbildner$$4cre / 000118590 / 1
(DE-588)102149801 Verknüpfter GND-Satz existiert nicht: 1001  L $$aHummel, Theodor$$1(DE-588)102149801$$eAutor$$4aut / 000075151 / 1
(DE-588)1021836540 Verknüpfter GND-Satz existiert nicht: 1001  L $$aKoch, Samuel$$1(DE-588)1021836540$$eAutor$$4aut / 000206049 / 1
(DE-588)102347883 Verknüpfter GND-Satz existiert nicht: 7001  L $$aSander-Rindtorff, Erna$$1(DE-588)102347883$$eAdressat$$4rcp / 000277505 / 1
(DE-588)102347883 Verknüpfter GND-Satz existiert nicht: 7001  L $$aSander-Rindtorff, Erna$$1(DE-588)102347883$$eAutor$$4aut / 000038309 / 1
(DE-588)1023518252 Verknüpfter GND-Satz existiert nicht: 1001  L $$aAuerbach-Nathan, Ilse$$1(DE-588)1023518252$$eAutor$$4aut / 000050573 / 1
(DE-588)1023675625 Verknüpfter GND-Satz existiert nicht: 1001  L $$aʿĪd, Ṯābit$$1(DE-588)1023675625$$eAutor$$4aut / 000072622 / 1
(DE-588)1024276503 Verknüpfter GND-Satz existiert nicht: 1001  L $$aScaliger, Joseph Juste$$1(DE-588)1024276503$$eAutor$$4aut / 000285729 / 1
(DE-588)1025253124 Verknüpfter GND-Satz existiert nicht: 1001  L $$aMahdawī Dāmġānī, Aḥmad$$1(DE-588)1025253124$$eAutor$$4aut / 000109268 / 1
(DE-588)1027056725 Verknüpfter GND-Satz existiert nicht: 1001  L $$aAli, Sheikh Mohammad$$1(DE-588)1027056725$$eAutor$$4aut / 000070857 / 1
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 1001  L $$aHögger, Sebastian$$1(DE-588)102856753$$eAutor$$4aut / 000135676 : 000135677 / 2
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 1001  L $$aHögger, Sebastian$$1(DE-588)102856753$$eAutor$$4aut / 000169613 / 1
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 1001  L $$aHögger, Sebastian$$1(DE-588)102856753$$eAutor$$4aut / 000182071 : 000182074 : 000182076 : 000182080 : 000182081 : 000182087 : 000182088 : 000182094 : 000182096 : 000182099 : 000182100 : 000182102 : 000182103 : 000182213 : 000182214 : 000182215 : 000182216 : 000182217 : 000182218 / 19
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 1001  L $$aHögger, Sebastian$$1(DE-588)102856753$$eAutor$$4aut / 000205203 : 000205230 : 000205231 : 000205876 : 000206055 / 5
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 60017 L $$aHögger, Sebastian$$1(DE-588)102856753$$2gnd / 000057684 : 000057692 : 000057693 : 000057695 : 000057696 : 000057698 : 000057705 / 7
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 7001  L $$aHögger, Sebastian$$1(DE-588)102856753$$eAdressat$$4rcp / 000163835 : 000163844 : 000163901 : 000163902 / 4
(DE-588)102856753 Verknüpfter GND-Satz existiert nicht: 7001  L $$aHögger, Sebastian$$1(DE-588)102856753$$eAdressat$$4rcp / 000226992 / 1
(DE-588)1031511245 Verknüpfter GND-Satz existiert nicht: 7001  L $$aShields, Alice$$1(DE-588)1031511245$$eSchreiber/Scriptorium$$4scr / 000009238 / 1
(DE-588)103381597 Verknüpfter GND-Satz existiert nicht: 1001  L $$aNaǧīb, Nāǧī$$1(DE-588)103381597$$eAutor$$4aut / 000046135 / 1
(DE-588)1036534510 Verknüpfter GND-Satz existiert nicht: 7001  L $$aDell, Robert Wenrick$$1(DE-588)1036534510$$eAndere$$4oth / 000276659 / 1
(DE-588)103673598 Verknüpfter GND-Satz existiert nicht: 7001  L $$aPelletier, André$$1(DE-588)103673598$$eAutor$$4aut / 000086037 / 1
(DE-588)10369692X Verknüpfter GND-Satz existiert nicht: 1001  L $$aSaliba, George$$1(DE-588)10369692X$$eAutor$$4aut / 000079833 / 1
(DE-588)10369692X Verknüpfter GND-Satz existiert nicht: 60017 L $$aSaliba, George$$1(DE-588)10369692X$$2gnd / 000119594 / 1
(DE-588)103726454 Verknüpfter GND-Satz existiert nicht: 1001  L $$aMahdī, Muḥsin$$1(DE-588)103726454$$eAutor$$4aut / 000076952 / 1
(DE-588)103788867 Verknüpfter GND-Satz existiert nicht: 7001  L $$aSchwarz, Rudolf$$1(DE-588)103788867$$eAutor$$4aut / 000227194 / 1
(DE-588)1038245249 Verknüpfter GND-Satz existiert nicht: 7001  L $$aLöffler, Franz Johann$$1(DE-588)1038245249$$eAutor$$4aut / 000029016 / 1
(DE-588)103999396 Verknüpfter GND-Satz existiert nicht: 1001  L $$aJung, Heinrich$$1(DE-588)103999396$$eAutor$$4aut / 000068625 / 1
(DE-588)104028432 Verknüpfter GND-Satz existiert nicht: 7001  L $$aStone, Kurt$$1(DE-588)104028432$$eAutor$$4aut / 000009240 / 1
(DE-588)104046392 Verknüpfter GND-Satz existiert nicht: 7001  L $$aWeynsen, Matthias$$1(DE-588)104046392$$cOrdensgeneral der Franziskaner in Dordrecht$$eAdressat$$4rcp / 000291922 / 1
(DE-588)104061294 Verknüpfter GND-Satz existiert nicht: 1001  L $$aEglinger, Werner$$1(DE-588)104061294$$eAutor$$4aut / 000123042 : 000132348 : 000132349 : 000132350 / 4
(DE-588)104061294 Verknüpfter GND-Satz existiert nicht: 1001  L $$aEglinger, Werner$$1(DE-588)104061294$$eAutor$$4aut / 000134492 : 000134493 : 000134494 : 000134495 : 000134496 / 5
(DE-588)10454001X Verknüpfter GND-Satz existiert nicht: 7001  L $$aFitzner, Gerhart$$1(DE-588)10454001X$$eAutor$$eAdressat$$4aut$$4rcp / 000277195 / 1
(DE-588)104676868 Verknüpfter GND-Satz existiert nicht: 7001  L $$aBandemer, Jens Dither <<von>>$$1(DE-588)104676868$$eAutor$$eAdressat$$4aut$$4rcp / 000278885 / 1
(DE-588)104677759 Verknüpfter GND-Satz existiert nicht: 1001  L $$aAuburn, Herbert William$$1(DE-588)104677759$$eAutor$$4aut / 000043345 / 1
(DE-588)104709731 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBaur-Heinhold, Margarete$$1(DE-588)104709731$$eAutor$$4aut / 000032604 / 1
(DE-588)1047182351 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBussche, Axel von dem$$1(DE-588)1047182351$$eAutor$$4aut / 000062380 / 1
(DE-588)1047182351 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBussche, Axel von dem$$1(DE-588)1047182351$$eAutor$$4aut / 000210255 : 000212324 / 2
(DE-588)104760117 Verknüpfter GND-Satz existiert nicht: 1001  L $$aScholz, Norbert$$1(DE-588)104760117$$eAutor$$4aut / 000264472 / 1
(DE-588)10488617X Verknüpfter GND-Satz existiert nicht: 7001  L $$aGrüneisen, Karl-Guenther$$1(DE-588)10488617X$$eAdressat$$4rcp / 000277152 / 1
(DE-588)10488617X Verknüpfter GND-Satz existiert nicht: 7001  L $$aGrüneisen, Karl-Guenther$$1(DE-588)10488617X$$eAdressat$$4rcp / 000277983 / 1
(DE-588)104937408 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSchmid, Viktor$$1(DE-588)104937408$$eAutor$$4aut / 000064006 / 1
(DE-588)104937408 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSchmid, Viktor$$1(DE-588)104937408$$eAutor$$4aut / 000122392 / 1
(DE-588)104971878 Verknüpfter GND-Satz existiert nicht: 1001  L $$aFück, Annelore$$1(DE-588)104971878$$eAutor$$4aut / 000180607 / 1
(DE-588)104971878 Verknüpfter GND-Satz existiert nicht: 7001  L $$aFück, Annelore$$1(DE-588)104971878$$eAutor$$4aut / 000122141 / 1
(DE-588)104973765 Verknüpfter GND-Satz existiert nicht: 7001  L $$aFitzner, Gerhard$$1(DE-588)104973765$$eAdressat$$4rcp / 000277818 / 1
(DE-588)105049972 Verknüpfter GND-Satz existiert nicht: 1001  L $$aGossen-Eggenschwyler, Renata$$1(DE-588)105049972$$eAutor$$4aut / 000042030 / 1
(DE-588)105049972 Verknüpfter GND-Satz existiert nicht: 7001  L $$aGossen-Eggenschwyler, Renata$$1(DE-588)105049972$$eAutor$$4aut / 000178922 / 1
(DE-588)105092355 Verknüpfter GND-Satz existiert nicht: 1001  L $$aLang, Gertrud$$1(DE-588)105092355$$eAutor$$4aut / 000045804 / 1
(DE-588)105124273 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBraun-Brie, Jutta$$1(DE-588)105124273$$eAutor$$4aut / 000041198 / 1
(DE-588)105136182 Verknüpfter GND-Satz existiert nicht: 1001  L $$aChristen, Peter$$1(DE-588)105136182$$eAutor$$4aut / 000008184 : 000008341 / 2
(DE-588)105167053 Verknüpfter GND-Satz existiert nicht: 7001  L $$aLange, Hans-Georg$$1(DE-588)105167053$$eAutor$$eAdressat$$4aut$$4rcp / 000277811 / 1
(DE-588)105172081 Verknüpfter GND-Satz existiert nicht: 7001  L $$aColombo, Ernst$$1(DE-588)105172081$$eAutor$$eAdressat$$4aut$$4rcp / 000038276 / 1
(DE-588)105260118 Verknüpfter GND-Satz existiert nicht: 7001  L $$aStorck, Louis$$1(DE-588)105260118$$eAdressat$$4rcp / 000278435 / 1
(DE-588)1052989187 Verknüpfter GND-Satz existiert nicht: 60017 L $$aRilke, Rainer-Maria$$1(DE-588)1052989187$$2gnd / 000288743 / 1
(DE-588)105480401 Verknüpfter GND-Satz existiert nicht: 1001  L $$aErismann, Paul$$1(DE-588)105480401$$eAutor$$4aut / 000278092 / 1
(DE-588)105511439 Verknüpfter GND-Satz existiert nicht: 7001  L $$aSandmann, Kurt$$1(DE-588)105511439$$eAutor$$eAdressat$$4aut$$4rcp / 000038311 / 1
(DE-588)105621102 Verknüpfter GND-Satz existiert nicht: 7001  L $$aRückert, Kurt Walter$$1(DE-588)105621102$$eAdressat$$4rcp / 000038230 / 1
(DE-588)105678600 Verknüpfter GND-Satz existiert nicht: 7001  L $$aBaldauf, Fritz$$1(DE-588)105678600$$eAutor$$eAdressat$$4aut$$4rcp / 000278821 / 1
(DE-588)105704946 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSchultz-Bascho, Paula$$1(DE-588)105704946$$eAutor$$4aut / 000018682 / 1
(DE-588)1058056158 Verknüpfter GND-Satz existiert nicht: 1001  L $$aAicher-Scholl, Inge$$1(DE-588)1058056158$$eAutor$$4aut / 000032268 / 1
(DE-588)1058056158 Verknüpfter GND-Satz existiert nicht: 60017 L $$aAicher-Scholl, Inge$$1(DE-588)1058056158$$2gnd / 000048883 / 1
(DE-588)105865168 Verknüpfter GND-Satz existiert nicht: 7001  L $$aRetzko, Hans-Georg$$1(DE-588)105865168$$eAutor$$eAdressat$$4aut$$4rcp / 000277966 / 1
(DE-588)105976784 Verknüpfter GND-Satz existiert nicht: 7001  L $$aHorn, Klaus$$1(DE-588)105976784$$eAutor$$4aut / 000289298 / 1
(DE-588)106375903 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBernard-Salin, Brigitte$$1(DE-588)106375903$$eAutor$$4aut / 000076721 / 1
(DE-588)106375903 Verknüpfter GND-Satz existiert nicht: 60017 L $$aBernard-Salin, Brigitte$$1(DE-588)106375903$$2gnd / 000044909 / 1
(DE-588)106375903 Verknüpfter GND-Satz existiert nicht: 60017 L $$aBernard-Salin, Brigitte$$1(DE-588)106375903$$2gnd / 000266188 / 1
(DE-588)106375903 Verknüpfter GND-Satz existiert nicht: 7001  L $$aBernard-Salin, Brigitte$$1(DE-588)106375903$$eAdressat$$4rcp / 000060839 : 000062371 / 2
(DE-588)106393359 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBurg, Hans-Henning <<von der>>$$1(DE-588)106393359$$eAutor$$4aut / 000028435 / 1
(DE-588)106393359 Verknüpfter GND-Satz existiert nicht: 7001  L $$aBurg, Hans-Henning <<von der>>$$1(DE-588)106393359$$eAutor$$4aut / 000028115 / 1
(DE-588)106546171 Verknüpfter GND-Satz existiert nicht: 1001  L $$aMetzenthin, Peter$$1(DE-588)106546171$$eAutor$$4aut / 000281831 : 000281832 : 000281835 : 000281837 : 000281841 : 000281845 : 000281850 : 000281860 : 000281861 : 000282149 : 000282206 : 000282216 : 000282284 : 000282397 / 14
(DE-588)106620312 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBomhard, Bettina <<von>>$$1(DE-588)106620312$$eAutor$$4aut / 000032975 / 1
(DE-588)1068357819 Verknüpfter GND-Satz existiert nicht: 60017 L $$aWyrwoll, Nikolaus$$1(DE-588)1068357819$$2gnd / 000199578 / 1
(DE-588)1069296147 Verknüpfter GND-Satz existiert nicht: 7001  L $$aKauffmann, Joschi$$1(DE-588)1069296147$$eMitwirkender$$4ctb / 000294004 : 000294005 : 000294006 : 000294010 : 000294015 / 5
(DE-588)10696724X Verknüpfter GND-Satz existiert nicht: 1001  L $$aFrei-Uhler, Marie$$1(DE-588)10696724X$$eAutor$$4aut / 000017756 / 1
(DE-588)107015579 Verknüpfter GND-Satz existiert nicht: 7001  L $$aRumpf, Peter$$1(DE-588)107015579$$eHerausgeber$$4edt / 000290583 / 1
(DE-588)1070619132 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSurber, Peter$$1(DE-588)1070619132$$eAutor$$4aut / 000276724 / 1
(DE-588)107087669 Verknüpfter GND-Satz existiert nicht: 7001  L $$aGroeben, Jobst <<von der>>$$1(DE-588)107087669$$eAdressat$$4rcp / 000266188 / 1
(DE-588)107321750 Verknüpfter GND-Satz existiert nicht: 7001  L $$aEinaudi, Ida$$1(DE-588)107321750$$eAutor$$4aut / 000278765 / 1
(DE-588)107356015 Verknüpfter GND-Satz existiert nicht: 7001  L $$aSauerländer, Heinz$$1(DE-588)107356015$$eAutor$$eAdressat$$4aut$$4rcp / 000038346 / 1
(DE-588)107362228 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSchaefer-Simmern, Henry$$1(DE-588)107362228$$eAutor$$4aut / 000291692 / 1
(DE-588)107363046 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSchärer, Gunther$$d1907-1990$$1(DE-588)107363046$$eAutor$$4aut / 000007188 / 1
(DE-588)107363046 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSchärer, Gunther$$d1907-1990$$1(DE-588)107363046$$eAutor$$4aut / 000289040 / 1
(DE-588)107363046 Verknüpfter GND-Satz existiert nicht: 7001  L $$aSchärer, Gunther$$d1907-1990$$1(DE-588)107363046$$eAutor$$eAdressat$$4aut$$4rcp / 000038392 / 1
(DE-588)107365898 Verknüpfter GND-Satz existiert nicht: 1001  L $$aBeckmann, H.$$1(DE-588)107365898$$eAutor$$4aut / 000163856 / 1
(DE-588)107381060 Verknüpfter GND-Satz existiert nicht: 7001  L $$aRukwid, Werner$$1(DE-588)107381060$$eAutor$$eAdressat$$4aut$$4rcp / 000038248 / 1
(DE-588)10747347X Verknüpfter GND-Satz existiert nicht: 1001  L $$aTeufel, Johann Karl$$1(DE-588)10747347X$$eAutor$$4aut / 000046321 : 000048837 / 2
(DE-588)107508044 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSpörri, Max$$1(DE-588)107508044$$eAutor$$4aut / 000039055 / 1
(DE-588)107522365 Verknüpfter GND-Satz existiert nicht: 1001  L $$aSteiger-Wach, Elisabeth <<von>>$$1(DE-588)107522365$$eAutor$$4aut / 000041836 / 1
(DE-588)107626543 Verknüpfter GND-Satz existiert nicht: 1001  L $$aMühll, Johanna <<von der>>$$1(DE-588)107626543$$eAutor$$4aut / 000084767 / 1
(DE-588)107649241 Verknüpfter GND-Satz existiert nicht: 1001  L $$aOeri, Georgine$$1(DE-588)107649241$$eAutor$$4aut / 000279234 / 1
(DE-588)107663074 Verknüpfter GND-Satz existiert nicht: 7001  L $$aPawlowsky, Peter$$1(DE-588)107663074$$eAdressat$$4rcp / 000265980 / 1
(DE-588)107735679 Verknüpfter GND-Satz existiert nicht: 1001  L $$aStrauss-Kloebe, Sigrid$$1(DE-588)107735679$$eAutor$$4aut / 000054595 / 1
